Linac Beam 
1.5290000000e+00 2.1226694303e+00 2.1226694303e+00 
1.6050000000e+00 2.1226694303e+00 2.1226694303e+00 
1.6050000000e+00 2.1226694303e+00 2.1226694303e+00 
1.7050000000e+00 2.1226694303e+00 2.1226694303e+00 
2.0550000000e+00 2.1226694303e+00 2.1226694303e+00 
2.0800000000e+00 2.1226694303e+00 2.1226694303e+00 
2.1050000000e+00 2.1226694303e+00 2.1226694303e+00 
2.1427000000e+00 2.1226694303e+00 2.1226694303e+00 
2.1427000000e+00 2.1226694303e+00 2.1226694303e+00 
2.1483000000e+00 2.1226694303e+00 2.1226694303e+00 
2.1483000000e+00 2.1226694303e+00 2.1226694303e+00 
2.1539000000e+00 2.1226694303e+00 2.1226694303e+00 
2.1539000000e+00 2.1226694303e+00 2.1226694303e+00 
2.1595000000e+00 2.1226694303e+00 2.1226694303e+00 
2.1595000000e+00 2.1226694303e+00 2.1226694303e+00 
2.1595000000e+00 2.1226694303e+00 2.1226694303e+00 
2.2050000000e+00 2.1226694303e+00 2.1226694303e+00 
2.2550000000e+00 2.1226694303e+00 2.1226694303e+00 
2.3050000000e+00 2.1226694303e+00 2.1226694303e+00 
2.3050000000e+00 2.1226694303e+00 2.1226694303e+00 
2.3550000000e+00 2.1226694303e+00 2.1226694303e+00 
2.3550000000e+00 2.1226694303e+00 2.1226694303e+00 
2.4250000000e+00 2.1226694303e+00 2.1226694303e+00 
2.4250000000e+00 2.1226694303e+00 2.1226694303e+00 
2.5250000000e+00 2.1226694303e+00 2.1226694303e+00 
2.5250000000e+00 2.1226694303e+00 2.1226694303e+00 
2.5600000000e+00 2.1226694303e+00 2.1226694303e+00 
2.5600000000e+00 2.1226694303e+00 2.1226694303e+00 
2.5950000000e+00 2.1226694303e+00 2.1226694303e+00 
2.5950000000e+00 2.1226694303e+00 2.1226694303e+00 
2.6450000000e+00 2.1226694303e+00 2.1226694303e+00 
2.6450000000e+00 2.1226694303e+00 2.1226694303e+00 
2.6950000000e+00 2.1226694303e+00 2.1226694303e+00 
2.7015000000e+00 2.1226694303e+00 2.1226694303e+00 
2.7015000000e+00 2.1226694303e+00 2.1226694303e+00 
2.7775000000e+00 2.1226694303e+00 2.1226694303e+00 
2.7775000000e+00 2.1226694303e+00 2.1226694303e+00 
2.8015000000e+00 2.1226694303e+00 2.1226694303e+00 
2.8265000000e+00 2.1226694303e+00 2.1226694303e+00 
2.8451000000e+00 2.1226694303e+00 2.1226694303e+00 
2.8451000000e+00 2.1226694303e+00 2.1226694303e+00 
2.8451000000e+00 2.1226694303e+00 2.1226694303e+00 
3.0951000000e+00 2.1226694303e+00 2.1226694303e+00 
3.3451000000e+00 2.1226694303e+00 2.1226694303e+00 
3.3451000000e+00 2.1226694303e+00 2.1226694303e+00 
3.3951000000e+00 2.1226694303e+00 2.1226694303e+00 
3.4300000000e+00 2.1226694303e+00 2.1226694303e+00 
3.4800000000e+00 2.1226694303e+00 2.1226694303e+00 
3.4800000000e+00 2.1226694303e+00 2.1226694303e+00 
3.5300000000e+00 2.1226694303e+00 2.1226694303e+00 
3.5300000000e+00 2.1226694303e+00 2.1226694303e+00 
3.6000000000e+00 2.1226694303e+00 2.1226694303e+00 
3.7000000000e+00 2.1226694303e+00 2.1226694303e+00 
3.7350000000e+00 2.1226694303e+00 2.1226694303e+00 
3.7350000000e+00 2.1226694303e+00 2.1226694303e+00 
3.7700000000e+00 2.1226694303e+00 2.1226694303e+00 
3.7700000000e+00 2.1226694303e+00 2.1226694303e+00 
3.8200000000e+00 2.1226694303e+00 2.1226694303e+00 
3.8200000000e+00 2.1226694303e+00 2.1226694303e+00 
3.8700000000e+00 2.1226694303e+00 2.1226694303e+00 
3.8700000000e+00 2.1226694303e+00 2.1226694303e+00 
3.8765000000e+00 2.1226694303e+00 2.1226694303e+00 
3.9525000000e+00 2.1226694303e+00 2.1226694303e+00 
3.9525000000e+00 2.1226694303e+00 2.1226694303e+00 
3.9529000000e+00 2.1226694303e+00 2.1226694303e+00 
3.9645923079e+00 2.1226765342e+00 2.1226764830e+00 
3.9762846158e+00 2.1226856979e+00 2.1226855777e+00 
3.9879769237e+00 2.1226696353e+00 2.1226696217e+00 
3.9996692316e+00 2.1224604191e+00 2.1224618901e+00 
4.0113615395e+00 2.1214526303e+00 2.1214605733e+00 
4.0230538474e+00 2.1184943726e+00 2.1185134655e+00 
4.0347461553e+00 2.1143800830e+00 2.1143979777e+00 
4.0464384632e+00 2.1140191322e+00 2.1140379815e+00 
4.0581307710e+00 2.1180778923e+00 2.1181132915e+00 
4.0698230789e+00 2.1209176789e+00 2.1209554976e+00 
4.0815153868e+00 2.1197041327e+00 2.1197428875e+00 
4.0932076947e+00 2.1154758038e+00 2.1155030951e+00 
4.1049000026e+00 2.1135191345e+00 2.1135388360e+00 
4.1165923105e+00 2.1166658444e+00 2.1166922243e+00 
4.1282846184e+00 2.1205001612e+00 2.1205193134e+00 
4.1399769263e+00 2.1221930019e+00 2.1222018399e+00 
4.1516692342e+00 2.1226248218e+00 2.1226302829e+00 
4.1633615421e+00 2.1226857387e+00 2.1226906909e+00 
4.1750538499e+00 2.1226798380e+00 2.1226848362e+00 
4.1867461578e+00 2.1226716982e+00 2.1226767645e+00 
4.1929000003e+00 2.1226688972e+00 2.1226739874e+00 
4.2129000000e+00 2.1226688972e+00 2.1226739874e+00 
4.5429000000e+00 2.1226688972e+00 2.1226739874e+00 
4.6047000000e+00 2.1226688972e+00 2.1226739874e+00 
4.6547000000e+00 2.1226688972e+00 2.1226739874e+00 
4.6547000000e+00 2.1226688972e+00 2.1226739874e+00 
4.7047000000e+00 2.1226688972e+00 2.1226739874e+00 
4.7047000000e+00 2.1226688972e+00 2.1226739874e+00 
4.7747000000e+00 2.1226688972e+00 2.1226739874e+00 
4.8747000000e+00 2.1226688972e+00 2.1226739874e+00 
4.9097000000e+00 2.1226688972e+00 2.1226739874e+00 
4.9097000001e+00 2.1226688972e+00 2.1226739874e+00 
4.9447000001e+00 2.1226688972e+00 2.1226739874e+00 
4.9447000001e+00 2.1226688972e+00 2.1226739874e+00 
4.9947000001e+00 2.1226688972e+00 2.1226739874e+00 
4.9947000001e+00 2.1226688972e+00 2.1226739874e+00 
5.0447000001e+00 2.1226688972e+00 2.1226739874e+00 
5.0512000001e+00 2.1226688972e+00 2.1226739874e+00 
5.0512000001e+00 2.1226688972e+00 2.1226739874e+00 
5.0512000001e+00 2.1226688972e+00 2.1226739874e+00 
5.0512000001e+00 2.1226688972e+00 2.1226739874e+00 
5.1272000001e+00 2.1226688972e+00 2.1226739874e+00 
5.1272000001e+00 2.1226688972e+00 2.1226739874e+00 
5.2000000001e+00 2.1226688972e+00 2.1226739874e+00 
5.2000000001e+00 2.1226688972e+00 2.1226739874e+00 
5.4500000001e+00 2.1226688972e+00 2.1226739874e+00 
5.7000000001e+00 2.1226688972e+00 2.1226739874e+00 
5.7000000001e+00 2.1226688972e+00 2.1226739874e+00 
5.7500000001e+00 2.1226688972e+00 2.1226739874e+00 
5.7750000001e+00 2.1226688972e+00 2.1226739874e+00 
5.7750000001e+00 2.1226688972e+00 2.1226739874e+00 
5.7797000001e+00 2.1226688972e+00 2.1226739874e+00 
5.8297000001e+00 2.1226688972e+00 2.1226739874e+00 
5.8297000001e+00 2.1226688972e+00 2.1226739874e+00 
5.8797000001e+00 2.1226688972e+00 2.1226739874e+00 
5.8797000001e+00 2.1226688972e+00 2.1226739874e+00 
