ELE# 1 : 0.25 m
-3.482005e+00 -1.014723e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.177067e-01 +2.229098e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.653658e+00 +3.172778e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +5.674325e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 11 : 0.57 m
+1.899726e+00 +8.408074e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-3.482005e+00 -1.014723e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.177067e-01 +2.229098e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.653658e+00 +3.172778e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +5.674325e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 12 : 0.62 m
+1.725626e+00 +7.900713e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-3.482005e+00 -1.014723e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -3.503896e-01 +2.387737e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.653658e+00 +3.172778e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +6.172072e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 13 : 0.629 m
+1.694288e+00 +7.809388e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-3.482005e+00 -1.014723e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -3.922725e-01 +2.416292e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.653658e+00 +3.172778e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +6.261667e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 14 : 0.705 m
+1.429656e+00 +7.038198e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-3.482005e+00 -1.014723e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -7.459505e-01 +2.657423e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.653658e+00 +3.172778e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +7.018244e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 15 : 0.705 m
+1.429656e+00 +7.038198e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-3.482005e+00 -1.014723e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -7.459505e-01 +2.657423e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.653658e+00 +3.172778e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +7.018244e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 16 : 0.7678 m
+1.210986e+00 +6.400952e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-3.482005e+00 -1.014723e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.038200e+00 +2.856673e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.653658e+00 +3.172778e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +7.643415e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 17 : 0.7678 m
+1.210986e+00 +6.400952e-01 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
-3.482005e+00 -1.014723e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -1.038200e+00 +2.856673e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 -4.653658e+00 +3.172778e-01 +0.000000e+00 +0.000000e+00 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 +7.643415e-01 
+0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +0.000000e+00 +1.000000e+00 
ELE# 18 : 0.7734 m
