 mc2(MeV) freq(MHz) Z I(mA) npart
  939.2943081000   162.5  -1    5      100000
 Sizes, positions are in mm, angles in mrad
 Phases in deg, energies in MeV
 Emittances and halo in mm.mrad or deg.MeV
 Phase advance per meter in deg/mm
 Current is in mA
 Powlost is in W
 H&V dispersion in mm
 ## z(m) gama-1 x0 y0 p0 x'0 y'0 W0 SizeX SizeY SizeP sxx' syy' spW ex ey ep hx hy hp npart kx ky kz ex99 ey99 ep99 phiS Ws SCCurrent Aper e4D EmitR kr Powlost Xmax Ymax ezdp SizeZ szdp Hdisp Vdisp Hdisp/dz Vdisp/dz e6D sxy sx'y'
10 5.700000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.108147e+00 1.387286e+00 8.937848e+00 -9.611543e+00 3.357329e+00 -6.964380e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 2.004618e-02 9.270092e-02 3.235674e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.500000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.074100e+00 5.648655e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
11 5.700000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.108147e+00 1.387286e+00 8.937848e+00 -9.611543e+00 3.357329e+00 -6.964380e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 2.121320e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.074100e+00 5.648655e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
12 6.200000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.955077e+00 1.513737e+00 9.210078e+00 -8.954019e+00 3.982246e+00 -7.513711e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 1.949004e-02 8.519003e-02 2.960157e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.500000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.167732e+00 6.094205e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
13 6.290000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.927858e+00 1.537566e+00 9.260388e+00 -8.837930e+00 4.096535e+00 -7.613659e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 2.068599e-02 7.677986e-02 2.856491e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.500000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.185035e+00 6.175271e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
14 7.050000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.702225e+00 1.749665e+00 9.700323e+00 -7.885160e+00 5.084089e+00 -8.470578e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 2.263327e-02 6.654401e-02 2.713280e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.500000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.336347e+00 6.870299e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
15 7.050000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.702225e+00 1.749665e+00 9.700323e+00 -7.885160e+00 5.084089e+00 -8.470578e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.500000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.336347e+00 6.870299e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
16 7.678000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.521734e+00 1.937204e+00 1.008304e+01 -7.134189e+00 5.930538e+00 -9.195791e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 2.627631e-02 5.276790e-02 2.491453e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.500000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.467979e+00 7.458503e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
17 7.678000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.521734e+00 1.937204e+00 1.008304e+01 -7.134189e+00 5.930538e+00 -9.195791e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.400143e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.467979e+00 7.458503e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
18 7.734000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.505914e+00 1.954382e+00 1.011796e+01 -7.068783e+00 6.007349e+00 -9.261200e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 2.832077e-02 4.721062e-02 2.388150e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.500000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.479991e+00 7.511555e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
19 7.734000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.505914e+00 1.954382e+00 1.011796e+01 -7.068783e+00 6.007349e+00 -9.261200e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.385929e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.479991e+00 7.511555e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
20 7.790000e-01 2.259856e-03 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 2.490140e+00 1.971630e+00 1.015301e+01 -7.003627e+00 6.084376e+00 -9.326731e-02 2.100000e-01 2.100000e-01 6.231832e-02 0.000000e+00 0.000000e+00 0.000000e+00 100000 2.868014e-02 4.638644e-02 2.371691e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 5.000000e+00 1.500000e+01 4.410000e-02 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 3.400000e-01 3.492045e+00 7.564705e+00 0.000000e+00 0.000000e+00 0.000000e+00 0.000000e+00 1.499400e-02 0.000000e+00 0.000000e+00
