Exx' Eyy' Et Ezz' 
3.0951000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.3451000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.3451000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.3951000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.4300000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.4800000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.4800000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.5300000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.5300000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.6000000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.7000000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.7350000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.7350000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.7700000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.7700000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.8200000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.8200000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.8700000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.8700000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.8765000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.9525000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.9525000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.9529000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
3.9645923079e+00 2.0999996330e-01 2.1000059775e-01 2.1000026485e-01 3.3999992661e-01 
3.9762846158e+00 2.0999996316e-01 2.1000055859e-01 2.1000024520e-01 3.3999991120e-01 
3.9879769237e+00 2.0999996236e-01 2.1000045633e-01 2.1000019367e-01 3.3999993667e-01 
3.9996692316e+00 2.0999995957e-01 2.1000032017e-01 2.1000012418e-01 3.4000045624e-01 
4.0113615395e+00 2.0999995417e-01 2.1000030270e-01 2.1000011261e-01 3.4000646188e-01 
4.0230538474e+00 2.0999995942e-01 2.1000408162e-01 2.1000200457e-01 3.4002941131e-01 
4.0347461553e+00 2.0999999462e-01 2.1004329740e-01 2.1002162926e-01 3.4002248804e-01 
4.0464384632e+00 2.1000000079e-01 2.1007363486e-01 2.1003679901e-01 3.4002128128e-01 
4.0581307710e+00 2.0999995951e-01 2.1002880726e-01 2.1001436753e-01 3.4005861105e-01 
4.0698230789e+00 2.0999995206e-01 2.1000887113e-01 2.1000439613e-01 3.4005355717e-01 
4.0815153868e+00 2.0999996620e-01 2.1001564394e-01 2.1000778951e-01 3.4006098929e-01 
4.0932076947e+00 2.1000000429e-01 2.1005821872e-01 2.1002909436e-01 3.4003471836e-01 
4.1049000026e+00 2.1000002430e-01 2.1006651038e-01 2.1003324944e-01 3.4001693977e-01 
4.1165923105e+00 2.0999999368e-01 2.1001435016e-01 2.1000715675e-01 3.4003118869e-01 
4.1282846184e+00 2.0999998397e-01 2.1000059481e-01 2.1000027439e-01 3.4001398949e-01 
4.1399769263e+00 2.0999999761e-01 2.1000038224e-01 2.1000017467e-01 3.4000126334e-01 
4.1516692342e+00 2.1000000450e-01 2.1000048513e-01 2.1000022955e-01 3.4000014206e-01 
4.1633615421e+00 2.1000000627e-01 2.1000061662e-01 2.1000029618e-01 3.4000010459e-01 
4.1750538499e+00 2.1000000652e-01 2.1000067917e-01 2.1000032758e-01 3.4000010718e-01 
4.1867461578e+00 2.1000000648e-01 2.1000069795e-01 2.1000033696e-01 3.4000011029e-01 
4.1929000003e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
4.2129000000e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
4.5429000000e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
4.6047000000e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
4.6547000000e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
4.6547000000e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
4.7047000000e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
4.7047000000e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
4.7747000000e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
4.8747000000e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
4.9097000000e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
4.9097000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
4.9447000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
4.9447000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
4.9947000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
4.9947000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.0447000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.0512000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.0512000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.0512000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.0512000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.1272000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.1272000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.2000000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.2000000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.4500000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.7000000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.7000000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.7500000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.7750000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.7750000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.7797000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.8297000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.8297000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.8797000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.8797000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
5.9497000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.0497000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.0847000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.0847000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.1197000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.1197000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.1697000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.1697000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.2197000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.2262000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.3022000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.3022000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.3022000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.3022000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.3022000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.4022000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.4986300001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.4993900001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.5279200001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.6279200001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.7279200001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.8279200001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.8427400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.8427400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.8483400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.8483400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.8539400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.8539400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.8595400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.8595400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.8595400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.9050000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
6.9550000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.0050000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.0050000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.0550000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.0550000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.1250000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.2250000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.2600000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.2600000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.2950000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.2950000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.3450000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.3450000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.3950000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.4015000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.4775000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.4775000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.4775000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.4775000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.4950000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.5450000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.5477400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.5477400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.5533400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.5533400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.5589400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.5589400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.5645400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.5645400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.5645400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.6970400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.7690300001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.7778900001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.7778900001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.9778900001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
7.9778900001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.0395400001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.0800000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.1300000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.1800000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.1800000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.2300000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.2300000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.3000000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.4000000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.4350000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.4350000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.4700000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.4700000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.5200000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.5200000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.5700000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.5765000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.6525000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.6525000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.6525000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.6525000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.6748500001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
8.7235000001e+00 2.1000000901e-01 2.1000070369e-01 2.1000034109e-01 3.4000011544e-01 
