 mc2(MeV) freq(MHz) Z I(mA) npart
    939.294308 0.1625000E+03  -1. 5.00000E+00     100000
 Sizes, positions are in mm, angles in mrad
 Phases in deg, energies in MeV
 Emittances and halo in mm.mrad or deg.MeV
 Phase advance per meter in deg/mm
 Current is in mA
 Powlost is in W
 H&V dispersion in mm
 ## z(m) gama-1 x0 y0 p0 x'0 y'0 W0 SizeX SizeY SizeP sxx' syy' spW ex ey ep hx hy hp npart kx ky kz ex99 ey99 ep99 phiS Ws SCCurrent Aper e4D EmitR kr Powlost Xmax Ymax ezdp SizeZ szdp Hdisp Vdisp Hdisp/dz Vdisp/dz E6D Sxy Sx'y'
   10     0.5700000 0.2259856E-02 -.1153697E-02 -.9379657E-04 0.7322555E-01 0.1659252E-02 -.5074930E-03 0.2888829E-04 0.3109275E+01 0.1398772E+01 0.8990570E+01 -.9615724E+01 0.3472733E+01 0.0000000E+00 0.2109461E+00 0.2135301E+00 0.6423307E-01 0.1032529E+01 0.1037300E+01 0.1093636E+01     100000 0.1915750E-01 0.9717221E-01 0.3204987E-01 0.1957245E+01 0.2002004E+01 0.3371391E+01 0.1945367E-03 -.5000141E-06 0.5000000E+01 0.1500000E+02 0.4504333E-01 0.6445877E+00 0.4880066E+00 0.0000000E+00 0.1303612E+02 0.5681551E+01 0.3504466E+00 0.3092234E+01 0.5911833E+01 0.1000707E+01 -.1154629E+00 -.9120351E+00 -.7098198E+00 0.1578527E-01 -.1137591E-02 0.3974021E-02
   11     0.5700000 0.2259856E-02 -.1153697E-02 -.9379657E-04 0.7322555E-01 0.1659252E-02 -.5074930E-03 0.2888829E-04 0.3109275E+01 0.1398772E+01 0.8990570E+01 -.9615724E+01 0.3472733E+01 0.0000000E+00 0.2109461E+00 0.2135301E+00 0.6423307E-01 0.1032529E+01 0.1037300E+01 0.1093636E+01     100000 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1957245E+01 0.2002004E+01 0.3371391E+01 0.1945367E-03 -.5000141E-06 0.5000000E+01 0.1500000E+02 0.4504333E-01 0.6445877E+00 0.0000000E+00 0.0000000E+00 0.1303612E+02 0.5681551E+01 0.3504466E+00 0.3092234E+01 0.5911833E+01 0.1000707E+01 -.1154629E+00 -.9120351E+00 -.7098198E+00 0.1578527E-01 -.1137591E-02 0.3974021E-02
   12     0.6200000 0.2259856E-02 -.1068819E-02 -.1197678E-03 0.7525494E-01 0.1735201E-02 -.5315746E-03 0.2923817E-04 0.2956258E+01 0.1528358E+01 0.9273937E+01 -.8950999E+01 0.4116513E+01 0.0000000E+00 0.2112448E+00 0.2136395E+00 0.6432495E-01 0.1038356E+01 0.1037000E+01 0.1098233E+01     100000 0.1957869E-01 0.8522223E-01 0.3017776E-01 0.1964998E+01 0.2003220E+01 0.3383973E+01 0.2116011E-03 -.5000141E-06 0.5000000E+01 0.1500000E+02 0.4513022E-01 0.6691700E+00 0.5027761E+00 0.0000000E+00 0.1247157E+02 0.6187743E+01 0.3509478E+00 0.3189695E+01 0.6388690E+01 0.9374002E+00 -.1469811E+00 -.8952206E+00 -.7100955E+00 0.1583834E-01 -.1198647E-02 0.3899600E-02
   13     0.6290000 0.2259856E-02 -.1053143E-02 -.1245722E-03 0.7562321E-01 0.1748409E-02 -.5360690E-03 0.2930606E-04 0.2929061E+01 0.1552751E+01 0.9326321E+01 -.8833980E+01 0.4234272E+01 0.0000000E+00 0.2113021E+00 0.2136554E+00 0.6434048E-01 0.1039440E+01 0.1036877E+01 0.1098995E+01     100000 0.2078536E-01 0.7668723E-01 0.2909158E-01 0.1967404E+01 0.2004253E+01 0.3385504E+01 0.2146727E-03 -.5000141E-06 0.5000000E+01 0.1500000E+02 0.4514582E-01 0.6730930E+00 0.5196657E+00 0.0000000E+00 0.1237012E+02 0.6279049E+01 0.3510326E+00 0.3207712E+01 0.6475249E+01 0.9260714E+00 -.1526474E+00 -.8922799E+00 -.7103772E+00 0.1584764E-01 -.1207122E-02 0.3884267E-02
   14     0.7050000 0.2259856E-02 -.9161858E-03 -.1667512E-03 0.7876886E-01 0.1854086E-02 -.5736564E-03 0.2993409E-04 0.2703718E+01 0.1769593E+01 0.9784433E+01 -.7876460E+01 0.5251996E+01 0.0000000E+00 0.2118102E+00 0.2137518E+00 0.6446070E-01 0.1048718E+01 0.1035209E+01 0.1104678E+01     100000 0.2279187E-01 0.6638281E-01 0.2763837E-01 0.1990206E+01 0.2008282E+01 0.3388096E+01 0.2406105E-03 -.5000141E-06 0.5000000E+01 0.1500000E+02 0.4527482E-01 0.7000406E+00 0.5578583E+00 0.0000000E+00 0.1151558E+02 0.7052403E+01 0.3516885E+00 0.3365276E+01 0.7215221E+01 0.8317847E+00 -.2005232E+00 -.8684665E+00 -.7141870E+00 0.1592262E-01 -.1247749E-02 0.3735694E-02
   15     0.7050000 0.2259856E-02 -.9161858E-03 -.1667512E-03 0.7876886E-01 0.1854086E-02 -.5736564E-03 0.2993409E-04 0.2703718E+01 0.1769593E+01 0.9784433E+01 -.7876460E+01 0.5251996E+01 0.0000000E+00 0.2118102E+00 0.2137518E+00 0.6446070E-01 0.1048718E+01 0.1035209E+01 0.1104678E+01     100000 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1990206E+01 0.2008282E+01 0.3388096E+01 0.2406105E-03 -.5000141E-06 0.5000000E+01 0.1500000E+02 0.4527482E-01 0.7000406E+00 0.0000000E+00 0.0000000E+00 0.1151558E+02 0.7052403E+01 0.3516885E+00 0.3365276E+01 0.7215221E+01 0.8317847E+00 -.2005232E+00 -.8684665E+00 -.7141870E+00 0.1592262E-01 -.1247749E-02 0.3735694E-02
   16     0.7678000 0.2259856E-02 -.7971847E-03 -.2037084E-03 0.8141578E-01 0.1934766E-02 -.6030683E-03 0.3051069E-04 0.2523564E+01 0.1961022E+01 0.1018287E+02 -.7124694E+01 0.6124550E+01 0.0000000E+00 0.2122375E+00 0.2137937E+00 0.6454720E-01 0.1056161E+01 0.1033252E+01 0.1108430E+01     100000 0.2650482E-01 0.5252177E-01 0.2534256E-01 0.2000112E+01 0.2007679E+01 0.3397019E+01 0.2620434E-03 -.5000141E-06 0.5000000E+01 0.1500000E+02 0.4537503E-01 0.7141083E+00 0.5899474E+00 0.0000000E+00 0.1081217E+02 0.7694572E+01 0.3521604E+00 0.3502314E+01 0.7839285E+01 0.7563249E+00 -.2403796E+00 -.8503931E+00 -.7187801E+00 0.1597927E-01 -.1239743E-02 0.3601408E-02
   17     0.7678000 0.2259856E-02 -.8033425E-03 -.1725532E-03 0.8139641E-01 0.1919911E-02 -.5234620E-03 0.3050143E-04 0.2523152E+01 0.1961027E+01 0.1018293E+02 -.7122335E+01 0.6124540E+01 0.0000000E+00 0.2122032E+00 0.2137944E+00 0.6454811E-01 0.1054722E+01 0.1033271E+01 0.1108401E+01      99998 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.1999133E+01 0.2007675E+01 0.3397021E+01 0.2620434E-03 -.5000141E-06 0.4999900E+01 0.1400143E+02 0.4536787E-01 0.7139774E+00 0.0000000E+00 0.2123163E+00 0.9757477E+01 0.7694572E+01 0.3521654E+00 0.3502338E+01 0.7839367E+01 0.8126317E+00 -.2363711E+00 -.9146475E+00 -.7138833E+00 0.1597698E-01 -.1368798E-02 0.3825246E-02
   18     0.7734000 0.2259856E-02 -.7925716E-03 -.1754919E-03 0.8163452E-01 0.1926836E-02 -.5260555E-03 0.3055484E-04 0.2507367E+01 0.1978551E+01 0.1021928E+02 -.7056956E+01 0.6203735E+01 0.0000000E+00 0.2122408E+00 0.2137971E+00 0.6455533E-01 0.1055361E+01 0.1033081E+01 0.1108698E+01      99998 0.2857531E-01 0.4693484E-01 0.2426018E-01 0.2000327E+01 0.2006417E+01 0.3396380E+01 0.2639546E-03 -.5000141E-06 0.4999900E+01 0.1500000E+02 0.4537645E-01 0.7148825E+00 0.5965896E+00 0.0000000E+00 0.9693499E+01 0.7751974E+01 0.3522048E+00 0.3514839E+01 0.7895585E+01 0.8055333E+00 -.2399226E+00 -.9128964E+00 -.7143254E+00 0.1598179E-01 -.1365941E-02 0.3812977E-02
   19     0.7734000 0.2259856E-02 -.7925716E-03 -.1754919E-03 0.8163452E-01 0.1926836E-02 -.5260555E-03 0.3055484E-04 0.2507367E+01 0.1978551E+01 0.1021928E+02 -.7056956E+01 0.6203735E+01 0.0000000E+00 0.2122408E+00 0.2137971E+00 0.6455533E-01 0.1055361E+01 0.1033081E+01 0.1108698E+01      99998 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.2000327E+01 0.2006417E+01 0.3396380E+01 0.2639546E-03 -.5000141E-06 0.4999900E+01 0.1385929E+02 0.4537645E-01 0.7148825E+00 0.0000000E+00 0.0000000E+00 0.9693499E+01 0.7751974E+01 0.3522048E+00 0.3514839E+01 0.7895585E+01 0.8055333E+00 -.2399226E+00 -.9128964E+00 -.7143254E+00 0.1598179E-01 -.1365941E-02 0.3812977E-02
   20     0.7790000 0.2259856E-02 -.7817620E-03 -.1784450E-03 0.8187297E-01 0.1933719E-02 -.5286305E-03 0.3060856E-04 0.2491629E+01 0.1996144E+01 0.1025576E+02 -.6991839E+01 0.6283156E+01 0.0000000E+00 0.2122781E+00 0.2137995E+00 0.6456247E-01 0.1055996E+01 0.1032890E+01 0.1108988E+01      99998 0.2894191E-01 0.4610966E-01 0.2409058E-01 0.2002024E+01 0.2007027E+01 0.3396809E+01 0.2658658E-03 -.5000141E-06 0.4999900E+01 0.1500000E+02 0.4538496E-01 0.7157242E+00 0.5978517E+00 0.0000000E+00 0.9629542E+01 0.7809398E+01 0.3522437E+00 0.3527386E+01 0.7951898E+01 0.7984601E+00 -.2434761E+00 -.9111515E+00 -.7147708E+00 0.1598655E-01 -.1362779E-02 0.3800669E-02
   21     0.7790000 0.2259856E-02 -.7817620E-03 -.1784450E-03 0.8187297E-01 0.1933719E-02 -.5286305E-03 0.3060856E-04 0.2491629E+01 0.1996144E+01 0.1025576E+02 -.6991839E+01 0.6283156E+01 0.0000000E+00 0.2122781E+00 0.2137995E+00 0.6456247E-01 0.1055996E+01 0.1032890E+01 0.1108988E+01      99998 0.0000000E+00 0.0000000E+00 0.0000000E+00 0.2002024E+01 0.2007027E+01 0.3396809E+01 0.2658658E-03 -.5000141E-06 0.4999900E+01 0.2050610E+02 0.4538496E-01 0.7157242E+00 0.0000000E+00 0.0000000E+00 0.9629542E+01 0.7809398E+01 0.3522437E+00 0.3527386E+01 0.7951898E+01 0.7984601E+00 -.2434761E+00 -.9111515E+00 -.7147708E+00 0.1598655E-01 -.1362779E-02 0.3800669E-02
   22     0.7846000 0.2259856E-02 -.7709140E-03 -.1814125E-03 0.8211174E-01 0.1940541E-02 -.5311750E-03 0.3066266E-04 0.2475939E+01 0.2013804E+01 0.1029237E+02 -.6926994E+01 0.6362794E+01 0.0000000E+00 0.2123152E+00 0.2138019E+00 0.6456954E-01 0.1056624E+01 0.1032698E+01 0.1109272E+01      99998 0.2931442E-01 0.4530296E-01 0.2392213E-01 0.2004359E+01 0.2006329E+01 0.3397987E+01 0.2677770E-03 -.5000141E-06 0.4999900E+01 0.1500000E+02 0.4539339E-01 0.7165098E+00 0.5989742E+00 0.0000000E+00 0.9565607E+01 0.7866845E+01 0.3522823E+00 0.3539976E+01 0.8008306E+01 0.7914021E+00 -.2470239E+00 -.9094060E+00 -.7152122E+00 0.1599127E-01 -.1359314E-02 0.3788330E-02
